회차년도,회차,검체명,검사명,제조사,Unacceptable rate
2025,01,CU-25-01,-Urobilinogen,Others,0
2025,01,CU-25-01,-Urobilinogen,Roche,0
2025,01,CU-25-01,-Urobilinogen,Siemens Healthineers,0.84
2025,01,CU-25-01,-Urobilinogen,Sysmex,0
2025,01,CU-25-01,-Urobilinogen,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-01,-Urobilinogen,YD diagnostics,0.15
2025,01,CU-25-01,-Urobilinogen,㈜디에프아이,0
2025,01,CU-25-01,-Urobilinogen,청도제약,0
2025,01,CU-25-02,-Urobilinogen,,0
2025,01,CU-25-02,-Urobilinogen,Abbott,0.2
2025,01,CU-25-02,-Urobilinogen,Arkray Inc,0
2025,01,CU-25-02,-Urobilinogen,Beckman Coulter Inc.,0
2025,01,CU-25-02,-Urobilinogen,Eiken,0
2025,01,CU-25-02,-Urobilinogen,Others,2.5
2025,01,CU-25-02,-Urobilinogen,Roche,0
2025,01,CU-25-02,-Urobilinogen,Siemens Healthineers,0.84
2025,01,CU-25-02,-Urobilinogen,Sysmex,0
2025,01,CU-25-02,-Urobilinogen,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-Urobilinogen,YD diagnostics,0.15
2025,01,CU-25-02,-Urobilinogen,㈜디에프아이,0
2025,01,CU-25-02,-Urobilinogen,청도제약,0
2025,01,CU-25-03,-Urobilinogen,,0
2025,01,CU-25-03,-Urobilinogen,Abbott,0.82
2025,01,CU-25-03,-Urobilinogen,Arkray Inc,80
2025,01,CU-25-03,-Urobilinogen,Beckman Coulter Inc.,0
2025,01,CU-25-03,-Urobilinogen,Eiken,0
2025,01,CU-25-03,-Urobilinogen,Others,2.5
2025,01,CU-25-03,-Urobilinogen,Roche,0
2025,01,CU-25-03,-Urobilinogen,Siemens Healthineers,0
2025,01,CU-25-03,-Urobilinogen,Sysmex,0
2025,01,CU-25-03,-Urobilinogen,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-Urobilinogen,YD diagnostics,0.88
2025,01,CU-25-03,-Urobilinogen,㈜디에프아이,1.24
2025,01,CU-25-03,-Urobilinogen,청도제약,0
2025,01,CU-25-01,-Nitrite,,0
2025,01,CU-25-01,-Nitrite,Abbott,0
2025,01,CU-25-01,-Nitrite,Arkray Inc,0
2025,01,CU-25-01,-Nitrite,Beckman Coulter Inc.,0
2025,01,CU-25-01,-Nitrite,Eiken,0
2025,01,CU-25-01,-Nitrite,Others,0
2025,01,CU-25-01,-Nitrite,Roche,0
2025,01,CU-25-01,-Nitrite,Siemens Healthineers,0
2025,01,CU-25-01,-Nitrite,Sysmex,0
2025,01,CU-25-01,-Nitrite,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-01,-Nitrite,YD diagnostics,0.3
2025,01,CU-25-01,-Nitrite,㈜디에프아이,0
2025,01,CU-25-01,-Nitrite,청도제약,0
2025,01,CU-25-02,-Nitrite,,0
2025,01,CU-25-02,-Nitrite,Abbott,0
2025,01,CU-25-02,-Nitrite,Arkray Inc,0
2025,01,CU-25-02,-Nitrite,Beckman Coulter Inc.,0
2025,01,CU-25-02,-Nitrite,Eiken,0
2025,01,CU-25-02,-Nitrite,Others,2.56
2025,01,CU-25-02,-Nitrite,Roche,0.56
2025,01,CU-25-02,-Nitrite,Siemens Healthineers,0
2025,01,CU-25-02,-Nitrite,Sysmex,0
2025,01,CU-25-02,-Nitrite,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-Nitrite,YD diagnostics,0.3
2025,01,CU-25-02,-Nitrite,㈜디에프아이,0
2025,01,CU-25-02,-Nitrite,청도제약,0
2025,01,CU-25-03,-Nitrite,,0
2025,01,CU-25-03,-Nitrite,Abbott,0.61
2025,01,CU-25-03,-Nitrite,Arkray Inc,0
2025,01,CU-25-03,-Nitrite,Beckman Coulter Inc.,0
2025,01,CU-25-03,-Nitrite,Eiken,0
2025,01,CU-25-03,-Nitrite,Others,2.56
2025,01,CU-25-03,-Nitrite,Roche,0
2025,01,CU-25-03,-Nitrite,Siemens Healthineers,0
2025,01,CU-25-03,-Nitrite,Sysmex,0
2025,01,CU-25-03,-Nitrite,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-Nitrite,YD diagnostics,0.91
2025,01,CU-25-03,-Nitrite,㈜디에프아이,2.5
2025,01,CU-25-03,-Nitrite,청도제약,0
2025,01,CU-25-01,-Leukocyte,,0
2025,01,CU-25-01,-Leukocyte,Abbott,0.82
2025,01,CU-25-01,-Leukocyte,Arkray Inc,0
2025,01,CU-25-01,-Leukocyte,Beckman Coulter Inc.,0
2025,01,CU-25-01,-Leukocyte,Eiken,0
2025,01,CU-25-01,-Leukocyte,Others,0
2025,01,CU-25-01,-Leukocyte,Roche,0
2025,01,CU-25-01,-Leukocyte,Siemens Healthineers,0.84
2025,01,CU-25-01,-Leukocyte,Sysmex,0
2025,01,CU-25-01,-Leukocyte,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-01,-Leukocyte,YD diagnostics,0.15
2025,01,CU-25-01,-Leukocyte,㈜디에프아이,1.88
2025,01,CU-25-01,-Leukocyte,청도제약,0
2025,01,CU-25-02,-Leukocyte,,0
2025,01,CU-25-02,-Leukocyte,Abbott,0.62
2025,01,CU-25-02,-Leukocyte,Arkray Inc,0
2025,01,CU-25-02,-Leukocyte,Beckman Coulter Inc.,0
2025,01,CU-25-02,-Leukocyte,Eiken,0
2025,01,CU-25-02,-Leukocyte,Others,2.56
2025,01,CU-25-02,-Leukocyte,Roche,0
2025,01,CU-25-02,-Leukocyte,Siemens Healthineers,0
2025,01,CU-25-02,-Leukocyte,Sysmex,0
2025,01,CU-25-02,-Leukocyte,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-Leukocyte,YD diagnostics,0.31
2025,01,CU-25-02,-Leukocyte,㈜디에프아이,1.25
2025,01,CU-25-02,-Leukocyte,청도제약,0
2025,01,CU-25-03,-Leukocyte,,0
2025,01,CU-25-03,-Leukocyte,Abbott,9.03
