"기관코드","기관명","검체명","검사명","rslt","제조사명","정답","기준SDI","세부SDI"
"1000001266","새서울내과영상의학과의원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000001448","하나로내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000001519","장성중앙내과의원","CU-25-03","-Ketone","3+","㈜디에프아이","±, 1+, 2+","",""
"1000001546","연세새로운병원","CU-25-03","-Ketone","3+","Siemens Healthineers","±, 1+, 2+","",""
"1000001814","대구누네안과병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000001862","건강한내과","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000001870","속편한내과 서울한강점","CU-25-03","-Ketone","3+","㈜디에프아이","±, 1+, 2+","",""
"1000001905","한빛내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000001955","공주좋은내과","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002140","한솔요양병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002181","성현내과","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002248","마하재활병원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002277","의료법인 상보의료재단 대구경상병원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002278","참포도나무병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002288","쾌찬내과의원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002294","송강복음내과","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002314","한나여성아이병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002315","하동중앙의원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002332","경일신경과내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002333","선사내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002340","신기한속내과연합의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002346","김석호내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002362","세종프라임요양병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002375","참병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002418","BB요양병원","CU-25-03","-Bilirubin","1+","Siemens Healthineers","2+, 3+","",""
"1000002486","남해병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002546","더미즈웰산부인과","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002556","나비샘내과의원","CU-25-03","-Ketone","-","YD diagnostics","±, 1+, 2+","",""
"1000002563","송암의료재단 중앙요양병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002569","서울척병원","CU-25-03","-Ketone","-","Abbott","±, 1+, 2+","",""
"1000002571","이준상내과","CU-25-03","-Ketone","-","YD diagnostics","±, 1+, 2+","",""
"1000002571","이준상내과","CU-25-03","-Bilirubin","-","YD diagnostics","2+, 3+","",""
"1000002572","포항성모내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002582","박태욱 미소내과","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002618","공내과","CU-25-03","-Ketone","-","Abbott","±, 1+, 2+","",""
"1000002626","조병수 의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002640","기독내과의원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002644","경기웰니스요양병원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002661","에델여성의원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002712","세인트마리여성병원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002775","박동훈내과의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002915","경상북도립노인전문요양병원","CU-25-03","-Ketone","3+","Siemens Healthineers","±, 1+, 2+","",""
"1000002953","의료법인 희원 래봄병원","CU-25-03","-Ketone","3+","㈜디에프아이","±, 1+, 2+","",""
"1000002968","곧바로병원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
"1000002975","청학의원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000002983","안동요양병원","CU-25-03","-Ketone","3+","Abbott","±, 1+, 2+","",""
"1000003070","의료법인 인산의료재단 자인플러스병원","CU-25-03","-Ketone","-","YD diagnostics","±, 1+, 2+","",""
"1000003070","의료법인 인산의료재단 자인플러스병원","CU-25-03","-Bilirubin","-","YD diagnostics","2+, 3+","",""
"1000003162","위사랑연합내과의원","CU-25-03","-Ketone","-","Abbott","±, 1+, 2+","",""
"1000003241","청춘병원","CU-25-03","-Glucose","1+","YD diagnostics","2+, 3+, 4+","",""
"1000003247","학장성심의원","CU-25-03","-Ketone","3+","YD diagnostics","±, 1+, 2+","",""
