id,testItem,specimenName,baseCategory,detailCategory,n,mean,median,sd,cv,min,max,decimalPlaces
"urine-stat-row-105","-Specific Gravity","CU-25-02","YD diagnostics","URiSCAN PRO+","6","1.0133","1.013","0.0042","0.4138","1.005","1.025","3"
"urine-stat-row-106","-Specific Gravity","CU-25-02","YD diagnostics","Uriscan pro2","31","1.0112","1.01","0.0026","0.2575","1.006","1.015","3"
"urine-stat-row-107","-Specific Gravity","CU-25-02","YD diagnostics","Uriscan super plus","72","1.0078","1.007","0.0008","0.0795","1.006","1.015","3"
"urine-stat-row-108","-Specific Gravity","CU-25-03","","","1,816","1.0181","1.02","0.0046","0.4491","0.015","1.2","3"
"urine-stat-row-109","-Specific Gravity","CU-25-03","㈜디에프아이","","157","1.0209","1.02","0.0030","0.2929","1","1.025","3"
"urine-stat-row-110","-Specific Gravity","CU-25-03","㈜디에프아이","디유리더 300","14","1.0214","1.02","0.0031","0.2992","1.015","1.025","3"
"urine-stat-row-111","-Specific Gravity","CU-25-03","㈜디에프아이","디유리더 720","88","1.0219","1.02","0.0027","0.2616","1.015","1.025","3"
"urine-stat-row-112","-Specific Gravity","CU-25-03","㈜디에프아이","디유리더 R-50","12","1.0183","1.02","0.0033","0.3198","1.015","1.025","3"
"urine-stat-row-113","-Specific Gravity","CU-25-03","㈜디에프아이","디유리더 R-600S","28","1.0186","1.02","0.0027","0.2618","1","1.025","3"
"urine-stat-row-114","-Specific Gravity","CU-25-03","㈜디에프아이","유리닥터","4","1.02","1.02","0.0000","0","1.02","1.02","3"
"urine-stat-row-115","-Specific Gravity","CU-25-03","㈜디에프아이","육안판독","11","1.0209","1.02","0.0030","0.2953","1.015","1.025","3"
"urine-stat-row-116","-Specific Gravity","CU-25-03","청도제약","","1","1.015","1.015","","","","","3"
"urine-stat-row-117","-Specific Gravity","CU-25-03","청도제약","Anyscan 720","1","1.015","1.015","","","","","3"
"urine-stat-row-118","-Specific Gravity","CU-25-03","Abbott","","483","1.019","1.02","0.0030","0.2923","0.02","1.2","3"
"urine-stat-row-119","-Specific Gravity","CU-25-03","Abbott","육안판독","49","1.0212","1.02","0.0030","0.2919","1.015","1.025","3"
"urine-stat-row-120","-Specific Gravity","CU-25-03","Abbott","Others","2","1.02","","0.0000","0","1.02","1.02","3"
"urine-stat-row-121","-Specific Gravity","CU-25-03","Abbott","UroMeter120","94","1.0223","1.02","0.0031","0.3084","1.01","1.2","3"
"urine-stat-row-122","-Specific Gravity","CU-25-03","Abbott","UroMeter720","338","1.0177","1.02","0.0030","0.289","0.02","1.03","3"
"urine-stat-row-123","-Specific Gravity","CU-25-03","Arkray Inc","","5","1.0204","1.02","0.0000","0","1.02","1.022","3"
"urine-stat-row-124","-Specific Gravity","CU-25-03","Arkray Inc","Aution max AX-4030","4","1.0205","1.02","0.0000","0","1.02","1.022","3"
"urine-stat-row-125","-Specific Gravity","CU-25-03","Arkray Inc","Aution max AX-4060","1","1.02","1.02","","","","","3"
"urine-stat-row-126","-Specific Gravity","CU-25-03","Beckman Coulter Inc.","","2","1.019","","0.0000","0","1.019","1.019","3"
"urine-stat-row-127","-Specific Gravity","CU-25-03","Beckman Coulter Inc.","iChem Velocity","2","1.019","","0.0000","0","1.019","1.019","3"
"urine-stat-row-128","-Specific Gravity","CU-25-03","Eiken","","9","1.0228","1.02","0.0071","0.6961","1.015","1.03","3"
"urine-stat-row-129","-Specific Gravity","CU-25-03","Eiken","Us 1000","1","1.015","1.015","","","","","3"
"urine-stat-row-130","-Specific Gravity","CU-25-03","Eiken","Us 2100R","7","1.025","1.03","0.0065","0.6298","1.015","1.03","3"
"urine-stat-row-131","-Specific Gravity","CU-25-03","Eiken","Us 2200R","1","1.015","1.015","","","","","3"
"urine-stat-row-132","-Specific Gravity","CU-25-03","Others","","40","1.0215","1.02","0.0039","0.3853","1.015","1.03","3"
"urine-stat-row-133","-Specific Gravity","CU-25-03","Others","육안판독","20","1.023","1.025","0.0037","0.3664","1.015","1.03","3"
"urine-stat-row-134","-Specific Gravity","CU-25-03","Others","Others","20","1.02","1.02","0.0036","0.3556","1.015","1.025","3"
"urine-stat-row-135","-Specific Gravity","CU-25-03","Roche","","179","1.0095","1.015","0.0060","0.5912","0.015","1.03","3"
"urine-stat-row-136","-Specific Gravity","CU-25-03","Roche","육안판독","2","1.01","","0.0071","0.7001","1.005","1.015","3"
"urine-stat-row-137","-Specific Gravity","CU-25-03","Roche","cobas 6500(u601)","53","1.0232","1.023","0.0013","0.1268","1.02","1.027","3"
